iter	Passed	Remaining
0	4	4487
1	5	2911
2	6	2158
3	7	1867
4	8	1635
5	8	1488
6	9	1390
7	10	1287
8	11	1238
9	11	1182
10	13	1171
11	13	1145
12	14	1114
13	15	1081
14	15	1048
15	16	1028
16	17	1007
17	18	1001
18	19	996
19	20	1006
20	21	1002
21	22	996
22	23	988
23	24	980
24	25	976
25	26	985
26	27	981
27	28	976
28	29	971
29	30	971
30	30	961
31	31	956
32	32	951
33	33	947
34	34	946
35	35	947
36	36	949
37	37	955
38	38	951
39	39	945
40	40	948
41	41	942
42	42	939
43	43	936
44	43	931
45	44	932
46	45	929
47	46	925
48	47	922
49	48	918
50	49	917
51	50	915
52	51	916
53	52	916
54	53	917
55	54	914
56	55	912
57	55	907
58	56	905
59	57	901
60	58	899
61	59	896
62	60	895
63	60	891
64	61	886
65	62	885
66	63	882
67	64	879
68	64	875
69	65	876
70	66	875
71	68	877
72	69	877
73	69	875
74	70	874
75	71	873
76	72	870
77	73	868
78	74	867
79	75	866
80	76	864
81	77	862
82	77	860
83	78	858
84	79	856
85	80	855
86	81	855
87	82	852
88	83	850
89	84	850
90	85	850
91	86	850
92	87	850
93	88	850
94	89	850
95	90	852
96	91	854
97	92	852
98	93	851
99	94	851
100	95	849
101	96	847
102	96	844
103	97	842
104	98	840
105	99	841
106	100	841
107	101	840
108	102	836
109	103	835
110	104	834
111	105	832
112	105	831
113	106	830
114	107	828
115	108	826
116	109	824
117	109	822
118	110	821
119	111	820
120	112	819
121	113	816
122	114	815
123	115	813
124	116	813
125	117	814
126	118	813
127	119	813
128	120	811
129	121	810
130	122	809
131	123	809
132	123	808
133	124	806
134	125	805
135	126	803
136	127	802
137	128	802
138	129	801
139	130	799
140	131	798
141	132	798
142	133	798
143	134	797
144	135	796
145	136	796
146	136	794
147	137	792
148	138	789
149	139	789
150	140	787
151	141	786
152	141	785
153	142	784
154	143	783
155	144	783
156	145	781
157	146	780
158	147	779
159	148	778
160	149	777
161	150	776
162	150	774
163	151	772
164	152	770
165	153	769
